,source node,target node
0,N0_7muVerMo,CombVerMo
1,SubjVertMo,CombVerMo
2,QGVertMotion,CombVerMo
3,CombVerMo,AreaMeso_ALS
4,AreaMeso_ALS,AreaMoDryAir
5,AreaMeso_ALS,CldShadeOth
6,AreaMeso_ALS,CompPlFcst
7,SatContMoist,CombMoisture
8,RaoContMoist,CombMoisture
9,CombMoisture,AreaMoDryAir
10,AreaMoDryAir,CldShadeOth
11,VISCloudCov,CombClouds
12,IRCloudCover,CombClouds
13,CombClouds,CldShadeOth
14,CldShadeOth,InsInMt
15,CldShadeOth,CompPlFcst
16,AMInstabMt,InsInMt
17,InsInMt,OutflowFrMt
18,InsInMt,CldShadeConv
19,InsInMt,MountainFcst
20,WndHodograph,OutflowFrMt
21,WndHodograph,Boundaries
22,WndHodograph,CldShadeConv
23,OutflowFrMt,Boundaries
24,MorningBound,Boundaries
25,Boundaries,CompPlFcst
26,CldShadeConv,CompPlFcst
27,CompPlFcst,CapChange
28,CompPlFcst,InsChange
29,CapChange,CapInScen
30,LoLevMoistAd,InsChange
31,InsChange,InsSclInScen
32,MountainFcst,R5Fcst
33,Date,Scenario
34,Scenario,ScenRelAMCIN
35,Scenario,ScenRelAMIns
36,Scenario,ScenRel3_4
37,Scenario,ScnRelPlFcst
38,Scenario,Dewpoints
39,Scenario,LowLLapse
40,Scenario,MeanRH
41,Scenario,MidLLapse
42,Scenario,MvmtFeatures
43,Scenario,RHRatio
44,Scenario,SfcWndShfDis
45,Scenario,SynForcng
46,Scenario,TempDis
47,Scenario,WindAloft
48,Scenario,WindFieldMt
49,Scenario,WindFieldPln
50,ScenRelAMCIN,AMCINInScen
51,MorningCIN,AMCINInScen
52,AMCINInScen,CapInScen
53,CapInScen,PlainsFcst
54,ScenRelAMIns,AMInsWliScen
55,LIfr12ZDENSd,AMInsWliScen
56,AMDewptCalPl,AMInsWliScen
57,AMInsWliScen,InsSclInScen
58,InsSclInScen,PlainsFcst
59,ScenRel3_4,N34StarFcst
60,LatestCIN,CurPropConv
61,LLIW,CurPropConv
62,CurPropConv,PlainsFcst
63,ScnRelPlFcst,PlainsFcst
64,PlainsFcst,N34StarFcst
65,N34StarFcst,R5Fcst
