,accuracy,precision,recall,SHD,norm
ga-50,0.9024024024024024,0.03333333333333333,0.06521739130434782,130.0,11.40175425099138
hc-50,0.9557057057057057,0.27586206896551724,0.17391304347826086,59.0,7.681145747868608
mmhc-50,0.9669669669669669,0.6,0.13043478260869565,44.0,6.6332495807108
tabu-50,0.9542042042042042,0.2413793103448276,0.15217391304347827,61.0,7.810249675906654
kbnl-50,0.9662162162162162,0.5555555555555556,0.10869565217391304,45.0,6.708203932499369
kbnl_c-50,0.9662162162162162,0.5454545454545454,0.13043478260869565,45.0,6.708203932499369
ga-500,0.8813813813813813,0.025423728813559324,0.06521739130434782,158.0,12.569805089976535
hc-500,0.978978978978979,0.75,0.5869565217391305,28.0,5.291502622129181
mmhc-500,0.9714714714714715,0.7,0.30434782608695654,38.0,6.164414002968976
tabu-500,0.9677177177177178,0.5405405405405406,0.43478260869565216,43.0,6.557438524302
kbnl-500,0.9707207207207207,0.6060606060606061,0.43478260869565216,39.0,6.244997998398398
kbnl_c-500,0.9722222222222222,0.6451612903225806,0.43478260869565216,37.0,6.082762530298219
ga-2000,0.8971471471471472,0.06666666666666667,0.15217391304347827,137.0,11.704699910719626
hc-2000,0.9864864864864865,0.8181818181818182,0.782608695652174,18.0,4.242640687119285
mmhc-2000,0.9774774774774775,0.7857142857142857,0.4782608695652174,30.0,5.477225575051661
tabu-2000,0.9804804804804805,0.7272727272727273,0.6956521739130435,26.0,5.0990195135927845
kbnl-2000,0.9827327327327328,0.7804878048780488,0.6956521739130435,23.0,4.795831523312719
kbnl_c-2000,0.9834834834834835,0.7857142857142857,0.717391304347826,22.0,4.69041575982343
ga-5000,0.8926426426426426,0.0380952380952381,0.08695652173913043,143.0,11.958260743101398
hc-5000,0.984984984984985,0.7954545454545454,0.7608695652173914,20.0,4.47213595499958
mmhc-5000,0.9819819819819819,0.8235294117647058,0.6086956521739131,24.0,4.898979485566356
tabu-5000,0.9804804804804805,0.7272727272727273,0.6956521739130435,26.0,5.0990195135927845
kbnl-5000,0.9857357357357357,0.813953488372093,0.7608695652173914,19.0,4.358898943540674
kbnl_c-5000,0.9774774774774775,0.7,0.6086956521739131,30.0,5.477225575051661
