expert,l2c,shd,Sqr(SHD)
3.599768511,8.185352772,3,1.732050808
0,8.185352772,3,1.732050808
1.118033989,8.246211251,4,2
2.034425936,8.246211251,4,2
1.615893286,8.366600265,4,2
5.30264609,8.366600265,4,2
3.563900797,8.185352772,5,2.236067977
5.308536103,8.185352772,7,2.645751311
6.189709202,8.426149773,9,3
8.635360122,8.426149773,9,3
7.564996145,8.485281374,12,3.464101615
9.133652671,8.306623863,13,3.605551275
10.15880844,8.544003745,13,3.605551275
10.94525519,9.219544457,25,5
11.84506461,9.110433579,29,5.385164807
11.62432794,9.219544457,31,5.567764363
12.287358,8.94427191,34,5.830951895
12.87439319,9.486832981,38,6.164414003
14.53420296,9.38083152,40,6.32455532
13.35571039,9.591663047,40,6.32455532
14.28553075,9.433981132,43,6.557438524
14.43038846,9.643650761,47,6.8556546
13.29003386,9.539392014,49,7
13.90443574,9.643650761,49,7
14.74882293,9.591663047,54,7.348469228
15.35053383,10.04987562,61,7.810249676
15.17330441,9.797958971,64,8
15.17078699,9.643650761,65,8.062257748
15.30795,9.746794345,65,8.062257748
15.19228605,9.486832981,72,8.485281374
15.66843962,9.797958971,76,8.717797887
15.87100781,9.848857802,77,8.774964387
16.0859238,10,78,8.831760866
15.67309265,9.746794345,79,8.888194417
16.16280022,9.949874371,79,8.888194417
15.59892268,9.899494937,80,8.94427191
15.97632797,9.643650761,81,9
16.32014774,9.797958971,82,9.055385138
15.53088321,10.09950494,82,9.055385138
15.61983248,9.643650761,83,9.110433579
15.29955519,9.695359715,84,9.16515139
15.84670488,10,84,9.16515139
15.67774431,9.643650761,85,9.219544457
15.97350236,9.746794345,85,9.219544457
15.45041351,9.591663047,86,9.273618495
15.73058768,9.695359715,86,9.273618495
15.98002225,9.797958971,86,9.273618495
15.56058946,10.19803903,86,9.273618495
16.28415215,10.19803903,86,9.273618495
15.51119667,9.746794345,87,9.327379053
15.43939766,9.643650761,89,9.433981132
16.33928463,9.746794345,89,9.433981132
15.30863046,9.848857802,89,9.433981132
15.79446985,9.848857802,89,9.433981132
15.66422853,9.949874371,89,9.433981132
16.19349149,9.949874371,89,9.433981132
15.8155602,9.591663047,90,9.486832981
15.71733827,9.695359715,90,9.486832981
15.43692363,9.899494937,90,9.486832981
16.17611408,9.899494937,90,9.486832981
16.27007307,10,90,9.486832981
15.47578754,9.643650761,91,9.539392014
15.72749715,9.643650761,91,9.539392014
16.07491144,9.746794345,91,9.539392014
15.68173035,9.848857802,91,9.539392014
16.25961254,9.797958971,92,9.591663047
15.87691371,10,92,9.591663047
15.7210934,9.746794345,93,9.643650761
16.17096163,10.14889157,93,9.643650761
15.5183583,9.797958971,94,9.695359715
15.83399121,9.797958971,94,9.695359715
16.3813071,10.14889157,95,9.746794345
0.5, 8.366600265340756, 4
